input_name,correct_name
T,Potato Flakes
,Brownie Mix
BRTATO WED patos IT,Sugar Pure Cane Granulated
,Heinz 57 Bottle
,Sriracha Bottle
,Cholula Bottle
,Tabasco Bottle
ENVIRO SERVICE CHARGE EACH -,Mayo Squeeze Bottle
i,Mustard Squeeze Bottle
LOW TEMP REC DETG X GAL Credit,Mayo Packets
Full,Mustard Packets
Amour ue,Ketchup Packets
,Ketchup Squeeze bottle
Charges,Tea Filter pouch
Amour i,Coffee
,Sweetener Pink Packet
,Sweetener Equal Packet
Tr,Sweetener Splenda
TOBY KEITH'S BAR B Invoice Total,Sweetener Sugar
Single Units,Shortening Clear Fry Liquid
,Oil Pan and Grill
Local Charges,Lays potato chips
,Gravy Mix
,"Pasta, Cavatappi"
FL,"Pasta, Egg Noodle"
soLuTON GL GAL SALES SUMMARY,Mayo Extra Heavy
Cases,Panko Bread Crumbs
,Dressing Italian
,Dressing French
,Dressing 1000
JUMBO,Dressing Balsamic
SOLUTION CL GAL ales,Dressing Caesar
Toe ri i,Dressing Coleslaw
G Credits,Miracle Whip
Full Cases,Dressing Honey Mustard
ES ae Pepsi-Cola Sales Total,Tarter Sauce
,Cocktail Sauce
,Horseradish
'S BAR mmo Invoice Total,PREP
les Total,Pulled Pork
LB Cl )ROCCOLI FLORET ICELESS,Pulled Chicken
x Taxable,Seasoned Shrimp
Taxable,Marmalade
Qy Amount,Buffalo Batch
Total Units,Burger Seasoning Batch
Suite,Fry Seasoning Batch
SPECIAL GAL,Rib Rub Batch
,Cowboy Blend Batch
Sher,Cargo Butter
M - TT,Peach Jam
ENVIRO SERVICE CHARGE EACH SALES,Coleslaw
achine Charges,Broccoli Butter
-,Green Bean
,Pico De Gallo
,Salsa
TX Whiskey,Cowboy Bean
Eagle Rare x,Potato Soup
Crown,Cobbler Set
Myer's Mark x,Broccoli Set
Hennessey VS,Buffalo Dip Set
Disaronno,Shrimp Cargo Set
Sutter Homes Cabernet,Queso Set
Redbull,Mash Set
Cherries,Cornbread Set
,Brookie Set
,Ranch
,Blue Cheese
,Spicy Ranch
,Blueberry Topping Batch
RpcaiRe Totat wi,Strawberry Topping
,Wing Sauce Batch
,Salmon Marinade Batch
,Au Jus Batch
,Potato Salad Batch
,Cajun Cakes Batch
,Buttermilk Pie- Whole
,Horsey Sauce
,Chili
,Cinnamon Rolls Batch
,Roll Icing Batch
LB SAOSAGE CAOB BREAKFAST MIL,Cajun Sauce Batch
ANGUS FRE,Mac and Cheese Batch
OZ,Crouton
TOTAL WEIGHT,"Maraschino Cherries, Luxardo Gourmet 14oz"
LB SAUSAGE CHUB BREAKFAST MIL,Bar Supplies-Condiments Subtotal
Z BEEFPHILLY STEAK RIBEYE,Bar Supplies Total
CHICKEN BRST FILLET CRISPY,Blue Moon Can 12oz
LB,Bud Zero 12oz
I,Coop 66 12oz
BEEF RBEYECF ON DOWNCH,Coop F5 12oz
WETGHI,Corona Can 12oz
ADVANC BEESIEAK FRT TEr C,Dos Equis Lager Cans 12oz
SAUSAGE ANDUUILLE ROPLSIY,Estrella Jalisco Btl. 12oz
OAL,Guinness Extra Stout Btl 12oz
CHCAAN HACT WUG,Heineken Can 12oz
OLB CHICKEN BREAST BUZBOTTERI,Modelo Especial Can 12oz
,Shiner can 16oz
,Shock Top Cans 12oz
,Stella Artois Cans 12oz
,Yuengling Lager Can 12oz
,Beer-6.0 Import Subtotal
,Stella Keg 1984oz
,Beer-6.0 Import Draft Subtotal
,Bud Light Aluminum Btl 16oz
p Hw,Bud Light cans 16oz
CONT FOAM ANGD TFC CARGE W,Budweiser Aluminum can 16oz
NAPKIN BEV,Coors Banquet 16oz
PREP-N-PRINT DUR,Coors Light can 16oz
P HW,Mich Ultra Cans 16oz
C,Miller Lite Can 16oz
X EEIE,Beer-Domestic Subtotal
,Bud Light Keg 1984oz
,Budweiser 1/2 barrel Keg 15.5gal
) Tax based on,Michelob Ultra Keg 15.5gal
,Beer-Domestic Draft Subtotal
,Dos Equis Keg 15.5gal
,Beer-Draft Imp. 6.0 Subtotal
,White Claw Mango 12oz
,White Claw Blackberry 12oz
,White claw black berry 12ml
,White claw mango 12ml
,Beer-Sparkling Subtotal
,Beer Total
,Angostura Bitters 4oz
,Bluebird Grapefruit 11.5oz
Credlts,Cherry Maraschino Gallon 1gal
OOOM Container Deposits,Finest Call Grenadine Syrup 1L
MACHINE OPERATiON CLEANLINESS TEMPERATURES,Finest Call Margarita Mix 1L
GBYPASS MAKEUPIOVERFLOW OPERATINO PROCEDURES GENERAL RESULT,Finest Call Old Fashioned Mix 1L
j SPRAY ARmS,Finest Call Peach Puree Mix 1L
Credits,Finest Call Watermelon Puree 1L
Sales Tax,Ginger Ale 8oz
MACHINE OPERATION CLEANLINESS TEMPERATURES,Gosling's Ginger Beer 12oz
OVERFLOWOPERATING PROCEDURES GENERAL RESULI,Juice Cranberry Lyons 46oz
SQUEEZE TUBES,Juice Sun Berry Cranberry juice 1L
jSPRAYARMS,Juice Sun Berry Orange juice 1L
,Juice Sun Berry Pineapple juice 1L
LD PeACH SLICED TaF,Juice Tomato 6oz
,MIX COCKTAIL Bloody Mary 1L
,MIX COCKTAIL Triple Sec 1L
,Mix Finest Call Pina Colada Mix 1L
,Mix Finest Call Strawberry Puree 1L
,Mix Finest Call Sweet & Sour 1L
,Monin Agave Nectar 1L
LB CORN CUT SIMPLY SWEET,Monin Red Sangria Mix 1L
B FRENCH FRIES SS,Monin Spicy Mango 1L
BREAD FRENCH BAGUETTE,Ocean Spray White graoefruit juice 7.2oz
LB PORK SKIN RAW,Real Blueberry Syrup 16.9oz
OTAL,Ronson Stuffed Olives 1gal
LB AVG PORK LOIN CENTER CUT BONE,White Rock Tonic Water 10oz
,Food-Bar condiments and mixers Subtotal
CHICKEN BREAST BOZ BUTTERF CA,Food Total
,Barton Long Island Tea 1L
BEAN CREEN COT BLUE LAKE,Liquor-A-Misc Subtotal
CORN CREAM BTYLE FANCY,Bacardi Superior Light Rum 1L
GRAM,Barbarossa Silver Rum 1L
HORSERADISH EXTRA HOT,Captain Morgan Spiced Rum 1L
GA,Conciere Silver Rum 1L
SALT PBOX SLB,Malibu Coconut Rum 1L
COFFEE TRADITIONAL,Myers 1L
BEANI ACL,RumChata Liqueur 1L
JUG,Liquor-B-Rum Subtotal
GAI SAUCE SEAFOOD,Basil Hayden's Bourbon 1L
Z DRESSINC PX ORIGINAL RANC,Bulleit Rye Whiskey 1L
GAI PICKLE HAMIR,Canadian Club 1858 1L
CARLIC GRANULATED,Conciere Blended Whiskey 1L
