name,price,quantity
LB AVG PORK LOIN CENTER CUT BONE,3.94,15
LB CORN CUT SIMPLY SWEET,26.08,26
B FRENCH FRIES SS,37.94,569
BREAD FRENCH BAGUETTE,29.35,58
LB PORK SKIN RAW,67.01,67
OTAL,97.4,12
LB AVG PORK LOIN CENTER CUT BONE,3.94,15
CHICKEN BREAST BOZ BUTTERF CA,88.04,20
CHICKEN BREAST BOZ BUTTERF CA,88.04,20
CARLIC GRANULATED,32.59,59
BEAN CREEN COT BLUE LAKE,34.73,34
CORN CREAM BTYLE FANCY,42.11,42
GRAM,20.75,100
HORSERADISH EXTRA HOT,13.58,13
GA,32.66,65
SALT PBOX SLB,50.36,50
COFFEE TRADITIONAL,63.86,63
BEANI ACL,35.32,35
JUG,49.24,49
GAI SAUCE SEAFOOD,49.54,49
Z DRESSINC PX ORIGINAL RANC,35.41,35
GAI PICKLE HAMIR,40.53,40
CARLIC GRANULATED,32.59,59
BEAN CREEN COT BLUE LAKE,34.73,34
CORN CREAM BTYLE FANCY,42.11,42
GRAM,20.75,100
HORSERADISH EXTRA HOT,13.58,13
GA,32.66,65
SALT PBOX SLB,50.36,50
COFFEE TRADITIONAL,63.86,63
BEANI ACL,35.32,35
JUG,49.24,49
GAI SAUCE SEAFOOD,49.54,49
Z DRESSINC PX ORIGINAL RANC,35.41,35
GAI PICKLE HAMIR,40.53,40
,34.25,58
LB CHEESE PIMENTO SPREAD GF,51.04,51
B FILLING PIEPEACH RTU,41.88,83
OZ PEPPER RED CRUSHED,9.84,9
BREADINC FISH FRY CRISPY,40.5,81
SHORTENING CLEAR FRY LIQUI,38.56,539
SUGARPURE CANE GRANULATED,43.89,87
GRAVY PEPPERED DMX,19.89,79
DZ EGG USDANAA,47.25,47
GAL MILK,24.13,48
WHOLE,32.63,97
CREAM LOAF ORIGINAI,68.45,68
CHEESE HAVARTI SLICE,71.4,40
,34.25,58
LB CHEESE PIMENTO SPREAD GF,51.04,51
B FILLING PIEPEACH RTU,41.88,83
OZ PEPPER RED CRUSHED,9.84,9
BREADINC FISH FRY CRISPY,40.5,81
SHORTENING CLEAR FRY LIQUI,38.56,539
SUGARPURE CANE GRANULATED,43.89,87
